user_id,timestamp,ip_address,location,event_type,file_name,success,anomaly
user_021,2025-07-13 04:57:57.800662,192.168.2.50,"New York, USA",file_access,Financial_Report.xlsx,True,True
user_032,2025-07-13 08:00:37.800662,192.168.1.89,"New York, USA",logout,,True,False
user_029,2025-07-13 08:01:11.800662,192.168.1.64,"New York, USA",login,,False,False
user_032,2025-07-13 08:01:15.800662,192.168.1.247,"New York, USA",logout,,True,False
user_030,2025-07-13 08:01:24.800662,192.168.1.16,"New York, USA",email_send,,True,False
user_049,2025-07-13 08:01:54.800662,10.1.1.221,"Mumbai, India",logout,,True,False
user_021,2025-07-13 08:02:02.800662,172.20.0.230,"Sydney, Australia",login,,True,False
user_006,2025-07-13 08:02:35.800662,192.168.1.87,"New York, USA",login,,True,False
user_020,2025-07-13 08:02:45.800662,192.168.2.172,"Tokyo, Japan",logout,,True,False
user_017,2025-07-13 08:03:24.800662,172.16.0.232,"Berlin, Germany",file_access,Secret_Project.txt,True,False
user_041,2025-07-13 08:05:03.800662,172.20.0.7,"Sydney, Australia",email_send,,True,False
user_031,2025-07-13 08:05:30.800662,10.0.0.53,"London, UK",logout,,True,False
user_024,2025-07-13 08:05:48.800662,10.1.1.179,"Mumbai, India",login,,True,False
user_042,2025-07-13 08:10:17.800662,10.0.0.48,"London, UK",file_access,Secret_Project.txt,True,False
user_050,2025-07-13 08:11:19.800662,172.16.0.105,"Berlin, Germany",login,,True,False
user_029,2025-07-13 08:11:32.800662,192.168.1.164,"New York, USA",file_access,Financial_Report.xlsx,True,False
user_037,2025-07-13 08:13:10.800662,172.20.0.198,"Sydney, Australia",email_send,,True,False
user_025,2025-07-13 08:14:53.800662,172.16.0.10,"Berlin, Germany",logout,,True,False
user_039,2025-07-13 08:15:07.800662,10.1.1.42,"Mumbai, India",file_access,Client_List.csv,True,False
user_048,2025-07-13 08:15:46.800662,10.0.0.53,"London, UK",file_access,Project_Plan.docx,True,False
user_018,2025-07-13 08:16:26.800662,172.16.0.223,"Berlin, Germany",email_send,,True,False
user_024,2025-07-13 08:17:20.800662,10.1.1.14,"Mumbai, India",file_access,Secret_Project.txt,True,False
user_042,2025-07-13 08:17:22.800662,10.0.0.95,"London, UK",logout,,True,False
user_011,2025-07-13 08:17:23.800662,10.1.1.178,"Mumbai, India",logout,,True,False
user_037,2025-07-13 08:17:32.800662,172.20.0.166,"Sydney, Australia",logout,,True,False
user_008,2025-07-13 08:17:57.800662,10.1.1.102,"Mumbai, India",file_access,Secret_Project.txt,True,False
user_002,2025-07-13 08:19:23.800662,192.168.1.193,"New York, USA",login,,False,False
user_029,2025-07-13 08:19:24.800662,192.168.1.137,"New York, USA",logout,,True,False
user_026,2025-07-13 08:20:37.800662,172.16.0.52,"Berlin, Germany",logout,,True,False
user_005,2025-07-13 08:21:54.800662,10.1.1.226,"Mumbai, India",logout,,True,False
user_050,2025-07-13 08:22:00.800662,172.16.0.24,"Berlin, Germany",email_send,,True,False
user_045,2025-07-13 08:22:02.800662,172.20.0.253,"Sydney, Australia",logout,,True,False
user_026,2025-07-13 08:22:09.800662,172.16.0.194,"Berlin, Germany",login,,True,False
user_005,2025-07-13 08:22:32.800662,10.1.1.1,"Mumbai, India",file_access,Budget_2025.xlsx,True,False
user_026,2025-07-13 08:23:23.800662,172.16.0.214,"Berlin, Germany",email_send,,True,False
user_007,2025-07-13 08:23:56.800662,192.168.2.252,"Tokyo, Japan",login,,True,False
user_032,2025-07-13 08:24:34.800662,192.168.1.146,"New York, USA",file_access,HR_Policies.pdf,True,False
user_032,2025-07-13 08:24:58.800662,192.168.1.151,"New York, USA",file_access,Client_List.csv,True,False
user_048,2025-07-13 08:25:04.800662,10.0.0.173,"London, UK",email_send,,True,False
user_037,2025-07-13 08:25:10.800662,172.20.0.173,"Sydney, Australia",email_send,,True,False
user_019,2025-07-13 08:28:33.800662,172.20.0.197,"Sydney, Australia",file_access,Budget_2025.xlsx,True,False
user_033,2025-07-13 08:28:48.800662,192.168.1.28,"New York, USA",login,,True,False
user_043,2025-07-13 08:29:48.800662,10.1.1.242,"Mumbai, India",logout,,True,False
user_028,2025-07-13 08:30:49.800662,10.1.1.99,"Mumbai, India",email_send,,True,False
user_004,2025-07-13 08:32:24.800662,192.168.2.133,"Tokyo, Japan",email_send,,True,False
user_022,2025-07-13 08:33:23.800662,172.20.0.174,"Sydney, Australia",logout,,True,False
user_014,2025-07-13 08:33:26.800662,172.20.0.75,"Sydney, Australia",email_send,,True,False
user_044,2025-07-13 08:33:38.800662,192.168.2.70,"Tokyo, Japan",file_access,HR_Policies.pdf,True,False
user_046,2025-07-13 08:33:50.800662,192.168.2.52,"Tokyo, Japan",file_access,Client_List.csv,True,False
user_043,2025-07-13 08:33:56.800662,10.1.1.169,"Mumbai, India",email_send,,True,False
user_050,2025-07-13 08:34:30.800662,172.16.0.212,"Berlin, Germany",login,,True,False
user_002,2025-07-13 08:36:45.800662,192.168.1.70,"New York, USA",login,,True,False
user_018,2025-07-13 08:37:08.800662,172.16.0.124,"Berlin, Germany",login,,True,False
user_022,2025-07-13 08:37:13.800662,172.20.0.182,"Sydney, Australia",login,,True,False
user_001,2025-07-13 08:37:34.800662,10.0.0.74,"London, UK",login,,False,False
user_028,2025-07-13 08:38:07.800662,10.1.1.65,"Mumbai, India",email_send,,True,False
user_004,2025-07-13 08:38:44.800662,192.168.2.56,"Tokyo, Japan",file_access,Client_List.csv,True,False
user_040,2025-07-13 08:39:36.800662,10.0.0.84,"London, UK",login,,True,False
user_012,2025-07-13 08:42:04.800662,192.168.2.131,"Tokyo, Japan",login,,True,False
user_001,2025-07-13 08:42:43.800662,10.0.0.151,"London, UK",email_send,,True,False
user_007,2025-07-13 08:43:03.800662,192.168.2.106,"Tokyo, Japan",logout,,True,False
user_027,2025-07-13 08:43:37.800662,10.1.1.3,"Mumbai, India",file_access,Client_List.csv,True,False
user_005,2025-07-13 08:44:44.800662,10.1.1.125,"Mumbai, India",logout,,True,False
user_018,2025-07-13 08:44:47.800662,172.16.0.51,"Berlin, Germany",email_send,,True,False
user_029,2025-07-13 08:45:27.800662,192.168.1.120,"New York, USA",login,,True,False
user_032,2025-07-13 08:46:11.800662,192.168.1.8,"New York, USA",logout,,True,False
user_039,2025-07-13 08:47:20.800662,10.1.1.224,"Mumbai, India",logout,,True,False
user_001,2025-07-13 08:47:31.800662,10.0.0.163,"London, UK",file_access,Secret_Project.txt,True,False
user_041,2025-07-13 08:48:37.800662,172.20.0.105,"Sydney, Australia",login,,False,False
user_002,2025-07-13 08:48:42.800662,192.168.1.189,"New York, USA",logout,,True,False
user_027,2025-07-13 08:48:58.800662,10.1.1.116,"Mumbai, India",file_access,Financial_Report.xlsx,True,False
user_015,2025-07-13 08:49:11.800662,192.168.1.4,"New York, USA",login,,True,False
user_014,2025-07-13 08:50:20.800662,172.20.0.36,"Sydney, Australia",file_access,Project_Plan.docx,True,False
user_029,2025-07-13 08:50:21.800662,192.168.1.36,"New York, USA",logout,,True,False
user_025,2025-07-13 08:51:40.800662,172.16.0.114,"Berlin, Germany",logout,,True,False
user_038,2025-07-13 08:53:00.800662,172.20.0.105,"Sydney, Australia",login,,True,False
user_037,2025-07-13 08:53:09.800662,172.20.0.140,"Sydney, Australia",login,,False,False
user_004,2025-07-13 08:54:19.800662,192.168.2.29,"Tokyo, Japan",login,,False,False
user_015,2025-07-13 08:54:48.800662,192.168.1.251,"New York, USA",file_access,Client_List.csv,True,False
user_005,2025-07-13 08:55:16.800662,10.1.1.25,"Mumbai, India",logout,,True,False
user_043,2025-07-13 08:55:30.800662,10.1.1.68,"Mumbai, India",login,,True,False
user_017,2025-07-13 08:55:57.800662,172.16.0.138,"Berlin, Germany",logout,,True,False
user_013,2025-07-13 08:56:17.800662,192.168.2.33,"Tokyo, Japan",file_access,Project_Plan.docx,True,False
user_028,2025-07-13 08:56:44.800662,10.1.1.193,"Mumbai, India",email_send,,True,False
user_001,2025-07-13 08:56:47.800662,10.0.0.252,"London, UK",logout,,True,False
user_026,2025-07-13 08:57:13.800662,172.16.0.233,"Berlin, Germany",logout,,True,False
user_002,2025-07-13 08:57:54.800662,192.168.1.43,"New York, USA",login,,False,False
user_049,2025-07-13 08:58:40.800662,10.1.1.187,"Mumbai, India",email_send,,True,False
user_031,2025-07-13 08:59:11.800662,10.0.0.181,"London, UK",login,,True,False
user_006,2025-07-13 09:01:14.800662,192.168.1.221,"New York, USA",file_access,HR_Policies.pdf,True,False
user_028,2025-07-13 09:01:19.800662,10.1.1.188,"Mumbai, India",login,,True,False
user_049,2025-07-13 09:01:23.800662,10.1.1.162,"Mumbai, India",file_access,Client_List.csv,True,False
user_016,2025-07-13 09:01:24.800662,10.0.0.67,"London, UK",logout,,True,False
user_038,2025-07-13 09:02:03.800662,172.20.0.148,"Sydney, Australia",email_send,,True,False
user_021,2025-07-13 09:02:12.800662,172.20.0.236,"Sydney, Australia",file_access,Secret_Project.txt,True,False
user_047,2025-07-13 09:02:13.800662,172.16.0.252,"Berlin, Germany",email_send,,True,False
user_017,2025-07-13 09:02:48.800662,172.16.0.45,"Berlin, Germany",logout,,True,False
user_043,2025-07-13 09:03:08.800662,10.1.1.235,"Mumbai, India",email_send,,True,False
user_040,2025-07-13 09:04:01.800662,10.0.0.200,"London, UK",logout,,True,False
user_037,2025-07-13 09:04:06.800662,172.20.0.16,"Sydney, Australia",login,,False,False
user_046,2025-07-13 09:04:36.800662,192.168.2.152,"Tokyo, Japan",email_send,,True,False
user_012,2025-07-13 09:06:04.800662,192.168.2.151,"Tokyo, Japan",file_access,HR_Policies.pdf,True,False
user_014,2025-07-13 09:08:04.800662,172.20.0.138,"Sydney, Australia",email_send,,True,False
user_008,2025-07-13 09:08:45.800662,10.1.1.157,"Mumbai, India",email_send,,True,False
user_012,2025-07-13 09:09:09.800662,192.168.2.148,"Tokyo, Japan",email_send,,True,False
user_027,2025-07-13 09:10:31.800662,10.1.1.195,"Mumbai, India",login,,True,False
user_030,2025-07-13 09:11:50.800662,192.168.1.222,"New York, USA",email_send,,True,False
user_038,2025-07-13 09:11:56.800662,172.20.0.234,"Sydney, Australia",email_send,,True,False
user_047,2025-07-13 09:12:40.800662,172.16.0.16,"Berlin, Germany",login,,True,False
user_017,2025-07-13 09:13:02.800662,172.16.0.9,"Berlin, Germany",login,,True,False
user_029,2025-07-13 09:13:03.800662,192.168.1.151,"New York, USA",email_send,,True,False
user_031,2025-07-13 09:13:34.800662,10.0.0.155,"London, UK",email_send,,True,False
user_006,2025-07-13 09:14:03.800662,192.168.1.148,"New York, USA",logout,,True,False
user_027,2025-07-13 09:14:06.800662,10.1.1.72,"Mumbai, India",login,,True,False
user_011,2025-07-13 09:14:19.800662,10.1.1.205,"Mumbai, India",login,,True,False
user_017,2025-07-13 09:15:24.800662,172.16.0.11,"Berlin, Germany",file_access,Financial_Report.xlsx,True,False
user_040,2025-07-13 09:15:51.800662,10.0.0.214,"London, UK",email_send,,True,False
user_027,2025-07-13 09:15:59.800662,10.1.1.23,"Mumbai, India",logout,,True,False
user_008,2025-07-13 09:16:43.800662,10.1.1.208,"Mumbai, India",email_send,,True,False
user_028,2025-07-13 09:17:07.800662,10.1.1.166,"Mumbai, India",email_send,,True,False
user_018,2025-07-13 09:17:32.800662,172.16.0.196,"Berlin, Germany",login,,True,False
user_034,2025-07-13 09:17:43.800662,192.168.1.109,"New York, USA",email_send,,True,False
user_040,2025-07-13 09:18:23.800662,10.0.0.251,"London, UK",logout,,True,False
user_009,2025-07-13 09:18:52.800662,10.1.1.84,"Mumbai, India",email_send,,True,False
user_014,2025-07-13 09:18:55.800662,172.20.0.226,"Sydney, Australia",login,,False,False
user_044,2025-07-13 09:19:12.800662,192.168.2.167,"Tokyo, Japan",file_access,Financial_Report.xlsx,True,False
user_012,2025-07-13 09:21:23.800662,192.168.2.96,"Tokyo, Japan",file_access,Financial_Report.xlsx,True,False
user_023,2025-07-13 09:21:37.800662,192.168.1.22,"New York, USA",login,,True,False
user_015,2025-07-13 09:21:44.800662,192.168.1.156,"New York, USA",file_access,HR_Policies.pdf,True,False
user_034,2025-07-13 09:22:49.800662,192.168.1.233,"New York, USA",logout,,True,False
user_035,2025-07-13 09:22:56.800662,192.168.1.140,"New York, USA",file_access,HR_Policies.pdf,True,False
user_027,2025-07-13 09:23:20.800662,10.1.1.204,"Mumbai, India",login,,True,False
user_011,2025-07-13 09:23:24.800662,10.1.1.40,"Mumbai, India",login,,True,False
user_001,2025-07-13 09:24:03.800662,10.0.0.163,"London, UK",email_send,,True,False
user_001,2025-07-13 09:25:26.800662,10.0.0.30,"London, UK",file_access,Client_List.csv,True,False
user_041,2025-07-13 09:25:35.800662,172.20.0.105,"Sydney, Australia",login,,True,False
user_042,2025-07-13 09:25:42.800662,10.0.0.108,"London, UK",email_send,,True,False
user_040,2025-07-13 09:26:31.800662,10.0.0.213,"London, UK",file_access,HR_Policies.pdf,True,False
user_033,2025-07-13 09:26:34.800662,192.168.1.109,"New York, USA",email_send,,True,False
user_049,2025-07-13 09:26:35.800662,10.1.1.18,"Mumbai, India",file_access,Financial_Report.xlsx,True,False
user_004,2025-07-13 09:26:56.800662,192.168.2.7,"Tokyo, Japan",login,,True,False
user_043,2025-07-13 09:27:37.800662,10.1.1.35,"Mumbai, India",file_access,HR_Policies.pdf,True,False
user_036,2025-07-13 09:28:03.800662,192.168.1.174,"New York, USA",file_access,Secret_Project.txt,True,False
user_022,2025-07-13 09:29:11.800662,172.20.0.43,"Sydney, Australia",file_access,Budget_2025.xlsx,True,False
user_010,2025-07-13 09:29:39.800662,192.168.2.210,"Tokyo, Japan",email_send,,True,False
user_042,2025-07-13 09:30:59.800662,10.0.0.197,"London, UK",login,,True,False
user_028,2025-07-13 09:31:14.800662,10.1.1.229,"Mumbai, India",login,,False,False
user_028,2025-07-13 09:31:22.800662,10.1.1.166,"Mumbai, India",logout,,True,False
user_011,2025-07-13 09:31:34.800662,10.1.1.66,"Mumbai, India",logout,,True,False
user_008,2025-07-13 09:32:50.800662,10.1.1.22,"Mumbai, India",login,,True,False
user_047,2025-07-13 09:33:16.800662,172.16.0.48,"Berlin, Germany",logout,,True,False
user_032,2025-07-13 09:34:27.800662,192.168.1.118,"New York, USA",logout,,True,False
user_049,2025-07-13 09:34:49.800662,10.1.1.137,"Mumbai, India",email_send,,True,False
user_023,2025-07-13 09:35:31.800662,192.168.1.76,"New York, USA",email_send,,True,False
user_013,2025-07-13 09:35:50.800662,192.168.2.1,"Tokyo, Japan",login,,False,False
user_003,2025-07-13 09:36:05.800662,192.168.2.84,"Tokyo, Japan",email_send,,True,False
